planet,pradius,star,cluster,normalradius,sradius,luminosity,distance
Earth,1,Sun,1203,1,4,1,0
Jupiter,10.97,Sun,1203,1,4,1,0
Mars,0.532,Sun,1203,1,4,1,0
Mercury,0.383,Sun,1203,1,4,1,0
Neptune,3.86,Sun,1203,1,4,1,0
Saturn,9.14,Sun,1203,1,4,1,0
Uranus,3.98,Sun,1203,1,4,1,0
Venus,0.95,Sun,1203,1,4,1,0
HD 1666 b,11.68,HD 1666,302,193,196,53216.69938,110.6
HD 208527 b,11.57,HD 208527,360,51,54,621.020256,320.2
HD 13189 b,11.34,HD 13189,245,50,53,31.793875,185
HD 220074 b,11.51,HD 220074,383,50,53,530.709878,290.2
beta Cnc b,11.65,beta Cnc,44,49,52,545.085116,92.99
BD20 2457 b,10.85,BD20 2457,43,43,46,475.886188,200
BD20 2457 c,11.44,BD20 2457,43,43,46,475.886188,200
beta Umi b,11.68,beta Umi,46,42,45,459.986643,40.14
HD 96127 b,11.66,HD 96127,517,35,38,326.629446,540
HD 240237 b,11.68,HD 240237,397,32,35,332.302917,1500
gamma 1 Leo b,11.62,gamma 1 Leo,90,32,35,320.536881,38.5
sig Per b,11.68,sig Per,1069,28,31,255.822467,108.3
tau Gem b,10.9,tau Gem,1075,27,30,238.905352,98.4
11 UMi b,11.54,11 UMi,2,24,27,184.570281,119.5
HD 47536 b,11.68,HD 47536,449,23,26,181.891516,121.36
HD 47536 c,11.67,HD 47536,449,23,26,181.891516,121.36
HD 122430 b,11.64,HD 122430,235,23,26,160.855015,135
42 Dra b,11.65,42 Dra,19,22,25,135.492709,97.3
SAND364 b,10.95,SAND364,1068,22,25,143.615299,
HD 66141 b,11.68,HD 66141,467,21,24,141.126949,80.9
eps CrB b,11.68,eps CrB,83,21,24,149.109888,67.9
HD 110014 b,11.51,HD 110014,217,21,24,152.992288,90
HD 95127 b,11.68,HD 95127,514,20,23,113.599432,300
11 Com b,10.98,11 Com,1,19,22,163.773362,110.6
4 Uma b,11.67,4 Uma,18,18,21,111.801993,78.5
81 Cet b,11.68,81 Cet,28,18,21,153.030103,97.2
BD+20 274 c,11.67,BD+20 274,40,17,20,91.461682,
HD 1690 b,11.68,HD 1690,307,17,20,93.189619,319
nu Oph b,10.68,nu Oph,1024,15,18,120.649768,46.8
nu Oph c,10.48,nu Oph,1024,15,18,120.649768,46.8
BD+15 2940 b,10.45,BD+15 2940,39,15,18,102.574923,585
eta Cet b,11.46,eta Cet,86,14,17,77.123641,38
eta Cet c,11.61,eta Cet,86,14,17,77.123641,38
omi UMa b,11.66,omi UMa,1053,14,17,134.684024,56.3
alf Ari b,11.15,alf Ari,31,14,17,74.492062,20.2
eps Tau b,11.66,eps Tau,85,14,17,97.15603,45
HD 173416 b,11.5,HD 173416,314,14,17,78.641899,135
HD 11977 b,11.68,HD 11977,232,13,16,92.885705,66.5
HD 81688 b,11.5,HD 81688,491,13,16,77.383406,88.26
