i,continent,continentID,region,cluster,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
Angola,Africa,1,Central Africa,3,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,The Angolan Civil War,,,,,,,,,,,,
Cameroon,Africa,1,Central Africa,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,Africa,1,Central Africa,3,,,,,,,,,,,,,,,,,,,,The Central African Republic Bush War,The Central African Republic Bush War,The Central African Republic Bush War,The Central African Republic Bush War,,,,,Central African Republic Civil War ,Central African Republic Civil War ,
Chad,Africa,1,Central Africa,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,Africa,1,Central Africa,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dem. Rep. of the Congo,Africa,1,Central Africa,3,The Katanga insurgency,The Katanga insurgency,The Katanga insurgency,The Katanga insurgency,The Katanga insurgency,The Katanga insurgency,The Katanga insurgency,The Katanga insurgency,The Katanga insurgency,The Katanga insurgency,The Katanga insurgency,The First Congo War and The Katanga insurgency,The First Congo War and The Katanga insurgency,The First Congo War and The Katanga insurgency,The Second Congo War  and The Katanga insurgency,The Second Congo War  and The Katanga insurgency,The Second Congo War  and The Katanga insurgency,The Second Congo War  and The Katanga insurgency,The Second Congo War  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency,The Kivu conflict  and The Katanga insurgency
Equatorial Guinea,Africa,1,Central Africa,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Africa,1,Central Africa,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,Africa,1,Central Africa,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Africa,1,East Africa,6,,,,,,,,,The Burundian Civil War and The Burundian Genocide,The Burundian Civil War,The Burundian Civil War,The Burundian Civil War,The Burundian Civil War,The Burundian Civil War,The Burundian Civil War,The Burundian Civil War,The Burundian Civil War,The Burundian Civil War,The Burundian Civil War,The Burundian Civil War,The Burundian Civil War,,,,,,,,,
